;Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
5805;HR;Krapinsko-zagorska;HR0012A;46.169055555,15.6606388889;NO2;EEA Croatia;µg/m³;4.4;2021-08-06T11:00:00+02:00;Croatia
5806;HU;Csongrád;HU0057A;46.2666139995,20.153053;SO2;EEA Hungary;µg/m³;11.082595;2021-08-06T13:00:00+02:00;Hungary
5807;IT;Pescara;IT1977A;42.5175,14.14833;NO2;EEA Italy;µg/m³;41.0;2021-08-06T13:00:00+02:00;Italy
5808;IT;Varese;IT1650A;45.626944,9.024167;O3;EEA Italy;µg/m³;86.66556;2021-08-06T13:00:00+02:00;Italy
5809;IT;Brindisi;IT2151A;40.48944,18.04722;PM2.5;EEA Italy;µg/m³;8.72;2021-08-06T13:00:00+02:00;Italy
5810;IT;Reggio Nell'Emilia;IT0903A;44.516111,10.733889;O3;EEA Italy;µg/m³;71.0;2021-08-06T11:00:00+02:00;Italy
5811;IT;Chiesanuova;IT2158A;43.908056,12.401667;O3;EEA Italy;µg/m³;77.0;2021-08-06T11:00:00+02:00;Italy
5812;IT;Campobasso;IT1806A;41.418889,14.525556;NO2;EEA Italy;µg/m³;0.850154;2021-08-06T10:00:00+02:00;Italy
5813;LT;Telšiai;LT00053;56.0083351095,21.88694763;NO2;EEA Lithuania;µg/m³;3.06000004;2021-08-06T05:00:00+02:00;Lithuania
5814;LT;Kaunas;LT00041;54.8951279995,23.986222;O3;EEA Lithuania;µg/m³;50.09207076;2021-08-06T04:00:00+02:00;Lithuania
5815;CN;龙岩市;龙岩师专(对照点);25.1181,117.0189;PM2.5;ChinaAQIData;µg/m³;6.0;2021-08-06T13:00:00+02:00;China
5816;CN;亳州市;亳州学院;33.8034,115.7633;SO2;ChinaAQIData;µg/m³;4.0;2021-08-06T13:00:00+02:00;China
5817;CN;厦门市;同安二实小;24.7245,118.1493;PM2.5;ChinaAQIData;µg/m³;16.0;2021-08-06T13:00:00+02:00;China
5818;CN;惠州市;大亚湾霞涌;22.775,114.6517;O3;ChinaAQIData;µg/m³;207.0;2021-08-06T13:00:00+02:00;China
5820;CN;邯郸市;峰峰矿区临水派出所;36.44293,114.20016;NO2;ChinaAQIData;µg/m³;10.0;2021-08-06T13:00:00+02:00;China
5821;CN;巴中市;市中心医院;31.8344,106.7616;CO;ChinaAQIData;µg/m³;600.0;2021-08-06T13:00:00+02:00;China
5823;CN;深圳市;横岗;22.6451,114.1871;CO;ChinaAQIData;µg/m³;1000.0;2021-08-06T13:00:00+02:00;China
5825;CN;甘南州;甘肃民族师范学院;34.9617,102.8914;PM2.5;ChinaAQIData;µg/m³;4.0;2021-08-06T13:00:00+02:00;China
5826;CN;菏泽市;菏泽医专;35.2706,115.4702;O3;ChinaAQIData;µg/m³;173.0;2021-08-06T13:00:00+02:00;China
5827;CN;阳江市;阳东陶然;21.8749,112.0125;NO2;ChinaAQIData;µg/m³;19.0;2021-08-06T13:00:00+02:00;China
5828;CN;德州市;陵城艺术中心;37.3319,116.5652;PM10;ChinaAQIData;µg/m³;58.0;2021-08-06T13:00:00+02:00;China
5829;DE;Hamburg;DEHH008;53.56414,9.967882;O3;EEA Germany;µg/m³;44.58;2021-08-06T02:00:00+02:00;Germany
5830;DE;Hamburg;DEHH070;53.555668,9.943012;NO2;EEA Germany;µg/m³;32.31;2021-08-06T02:00:00+02:00;Germany
5831;DE;Hessen;DEHE049;51.312076,9.49112;PM10;EEA Germany;µg/m³;46.28;2021-08-06T02:00:00+02:00;Germany
5832;DE;Mecklenburg-Vorpommern;DEMV022;54.09262,12.099553;CO;EEA Germany;µg/m³;230.0;2021-08-06T02:00:00+02:00;Germany
