;Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
6310;IT;Foggia;IT1598A;41.62833,15.90944;CO;EEA Italy;µg/m³;1140.0;2021-08-06T05:00:00+02:00;Italy
6355;CN;乌兰察布市;集宁新区;40.9923,113.1306;CO;ChinaAQIData;µg/m³;2400.0;2021-08-06T13:00:00+02:00;China
6356;CN;抚顺市;顺城区;41.8822,123.9161;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
6361;CN;江阴市;五星公园;31.909,120.237;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
6471;CN;临沧市;市环保局;23.8982,100.0781;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T04:00:00+02:00;China
6529;ES;Granada;ES1560A;37.1960999995,-3.61266;CO;EEA Spain;µg/m³;789.0;2021-08-06T08:00:00+02:00;Spain
6555;PK;Lahore;US Diplomatic Post: Lahore;31.560078,74.33589;PM2.5;StateAir_Lahore;µg/m³;-999.0;2021-08-06T07:00:00+02:00;Pakistan
6557;CN;锦州市;开发区;40.8434,121.0533;CO;ChinaAQIData;µg/m³;1400.0;2021-08-06T13:00:00+02:00;China
6560;CN;镇江市;新区办事处;32.1875,119.6707;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
6601;CN;揭阳市;西马;23.5443,116.3264;CO;ChinaAQIData;µg/m³;1200.0;2021-08-06T13:00:00+02:00;China
6612;CN;咸阳市;两寺渡;34.2969,108.6594;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
6710;CN;来宾市;来宾二中;23.7361,109.2328;CO;ChinaAQIData;µg/m³;900.0;2021-08-06T13:00:00+02:00;China
6864;CN;北海市;牛尾岭水库(对照点);21.588,109.2262;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
6976;CN;双鸭山市;环保局;46.6554,131.1524;CO;ChinaAQIData;µg/m³;800.0;2021-08-06T13:00:00+02:00;China
6984;CN;新余市;市气象局;27.8036,114.9308;CO;ChinaAQIData;µg/m³;1100.0;2021-08-06T13:00:00+02:00;China
7016;IT;Perugia;IT2004A;43.10444,12.37472;CO;EEA Italy;µg/m³;900.0;2021-08-06T10:00:00+02:00;Italy
7036;NL;Wieringerwerf;Wieringerwerf-Medemblikkerweg;52.8037,5.05051;PM2.5;Netherlands;µg/m³;-998.0;2021-08-06T04:00:00+02:00;Netherlands
